label,ipc,cpi,branch_rate_pct,ideal_cpi,mem_cpi,branch_cpi,other_cpi,zero_issue_pct,partial_issue_pct,full_issue_pct,sq_full,lq_full,iq_full,rob_full,l1d_miss_rate_pct,l2_miss_rate_pct,l1d_lat_kticks,l2_lat_kticks,read_bw_gbs,write_bw_gbs,mem_share_pct,int_share_pct,vector_share_pct,other_share_pct
l2_256kB,0.932087,1.072861,1.8373696308214182,0.25,0.35211332852219435,0.03373275313855366,0.43701491833925205,32.82002128979766,39.47102955818675,26.529540981750493,3010304.0,1577.0,4096.0,76055.0,2.0677999999999996,91.7834,16.399093852,79.771594654,1.6147413333333334,1.5027626666666667,19.821084958683187,52.11311828455213,27.41064885719912,0.6551478995655651
roi_reorder_ef50,0.986374,1.013814,1.7753561811076517,0.25,0.33326453795614264,0.03283362531981973,0.39771583672403765,32.872357784040645,27.707128752215837,38.23507799414142,3021926.0,2187.0,3621.0,122815.0,2.0277,91.2152,15.991456293999999,83.622635969,1.6162986666666668,1.5035306666666668,19.480829957118356,52.13387180037253,27.72566550648275,0.6596327360263565
roi_quant_ef50,1.026379,0.974299,2.4311876654344013,0.25,0.31883505636953097,0.045199878615656115,0.36026406501481295,32.724572400297035,26.116532227181455,39.793562222708154,2974821.0,1159.0,3292.0,7268.0,2.3452,84.2198,17.317696264,83.974034856,1.8091733333333333,1.5202773333333333,15.697118754555243,72.89455453450114,3.3738432400403853,8.034483470903234
roi_rq_ef50,1.038927,0.962532,2.405033708113042,0.25,0.3159469517242057,0.04472706980703764,0.35185797846875666,32.82457228929705,24.81670017016298,40.97308139296105,2977145.0,1796.0,3299.0,7647.0,2.3323,84.4612,17.16383378,81.810632083,1.8068906666666666,1.5210026666666667,15.64157160955367,73.01589496746466,3.332433638716724,8.010099784264938
roi_hybrid_deep_ef50,1.096253,0.912198,2.3440351851038717,0.25,0.2976294213314211,0.04345861759547289,0.32110996107310597,32.627713810951484,17.07041062225483,48.90581762036006,2945767.0,1444.0,3159.0,9114.0,2.2143,82.17790000000001,17.506452666,79.343164629,1.8088746666666669,1.5217706666666668,15.544902309217298,73.38891288438215,3.176810231711053,7.889374574689495
